slug,title,wd_label,confidence,qid,burial,lat,lon,order,patronage_wd,image_url,commons,feast_raw,birth_raw,death_raw,source_url,image_license,image_credit
st-fidelis,St. Fidelis,Fidelis of Como,label,Q603655,,,,,,,Saint Fidelis,October 28,,0304-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q603655,,
st-frances-of-rome,St. Frances of Rome,Frances of Rome,label,Q239129,Santa Francesca Romana,41.89122807,12.488542029,Benedictines,,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Antonio%20Galli%20-%20Santa%20Francesca%20Romana%20con%20l%E2%80%99angelo.jpg,Saint Frances of Rome,March 9,1384-01-01T00:00:00Z,1440-03-09T00:00:00Z,https://www.wikidata.org/wiki/Q239129,public domain,
st-francis-of-assisi,St. Francis of Assisi,Francis of Assisi,label,Q676555,Basilica of San Francesco d'Assisi,43.07484,12.60581,Franciscans,First Franciscan Order; Italy; San Francisco; Third Order of Saint Francis; animal; environment; merchant,http://commons.wikimedia.org/wiki/Special:FilePath/StFrancis%20part.jpg,Francis of Assisi,October 4,1182-07-01T00:00:00Z,1226-10-10T00:00:00Z,https://www.wikidata.org/wiki/Q676555,public domain,
st-francis-xavier,St. Francis Xavier,Francis Xavier,label,Q163900,Basilica of Bom Jesus,15.50086809,73.91159057,Society of Jesus,,http://commons.wikimedia.org/wiki/Special:FilePath/Franciscus%20de%20Xabier.jpg,Francis Xavier,December 3,1506-04-17T00:00:00Z,1552-12-13T00:00:00Z,https://www.wikidata.org/wiki/Q163900,public domain,
st-gabriel,St. Gabriel,Mstislav I of Kiev,"AMBIGUOUS 41: Q41514,Q352451,Q671389,Q984395",Q41514,Kyiv,50.45,30.523611111,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mstislav%20I%20of%20Rus.jpg,"Mstislav I, Grand Prince of Kyiv",,1076-02-01T00:00:00Z,1132-04-21T00:00:00Z,https://www.wikidata.org/wiki/Q41514,public domain,
st-george,St. George,Saint George,label,Q48438,Lod,31.965599,34.891688,,Aragon; Crown of Aragon; Kingdom of Aragon,http://commons.wikimedia.org/wiki/Special:FilePath/Martorell%20-%20Sant%20Jordi.jpg,Saint George,Bright Week,0275-01-01T00:00:00Z,0303-04-24T00:00:00Z,https://www.wikidata.org/wiki/Q48438,public domain,
st-gertrude-the-great,St. Gertrude the Great,Gertrude the Great,label,Q61934,,,,Benedictines,,http://commons.wikimedia.org/wiki/Special:FilePath/Miguel%20Cabrera%2C%20Santa%20Gertrudis%2C%201763%20Mexico.jpg,Saint Gertrude of Helfta,November 16,1256-01-13T00:00:00Z,1302-11-25T00:00:00Z,https://www.wikidata.org/wiki/Q61934,public domain,
st-gregory-nazianzen,St. Gregory Nazianzen,Gregory of Nazianzus,label,Q44011,Constantinople,41.01224,28.976018,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gregor-Chora%20%28cropped%29.jpg,Gregory of Nazianzus,January 25,0330-01-01T00:00:00Z,0390-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q44011,needs review: Copyrighted free use,"Unknown author — Wikimedia Commons, Copyrighted free use"
st-gregory-of-narek,St. Gregory of Narek,Gregory of Narek,label,Q969758,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Grigor%20Narekatsi%201.jpg,Grigor Narekatsi,February 27,0951-01-01T00:00:00Z,1003-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q969758,public domain,
st-gregory-the-great,St. Gregory the Great,Gregory I,label,Q42827,St. Peter's Basilica,41.902222222,12.453416666,Benedictines,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Gregory%20I%20illustration.jpg,Gregorius I Magnus,September 3,0540-01-01T00:00:00Z,0604-03-15T00:00:00Z,https://www.wikidata.org/wiki/Q42827,public domain,
st-gregory-vii,St. Gregory VII,Gregory VII,label,Q133063,Salerno Cathedral,40.680083333,14.760416666,Benedictines,,http://commons.wikimedia.org/wiki/Special:FilePath/Gregorius%20%28Vita%20Gregorii%20VII%29.jpg,Gregorius VII,May 25,1020-01-01T00:00:00Z,1085-05-31T00:00:00Z,https://www.wikidata.org/wiki/Q133063,public domain,
st-henry,St. Henry,Saint Emeric of Hungary,"AMBIGUOUS 2: Q359259,Q445357",Q359259,Székesfehérvár Basilica,47.1917,18.4107,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tiszaug%2C%20r%C3%B3mai%20katolikus%20templom%20bels%C5%91%20tere%202025%2010.jpg,Saint Emeric of Hungary,November 4,1000-01-01T00:00:00Z,1031-09-08T00:00:00Z,https://www.wikidata.org/wiki/Q359259,needs review: CC BY-SA 4.0,"Pasztilla aka Attila Terbócs — Wikimedia Commons, CC BY-SA 4.0"
st-hilary-of-poitiers,St. Hilary of Poitiers,Hilary of Poitiers,label,Q44344,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hilaryofpoitiers.jpg,Hilary of Poitiers,January 14,0315-01-01T00:00:00Z,0367-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q44344,public domain,
st-hildegard-of-bingen,St. Hildegard of Bingen,Hildegard of Bingen,label,Q70991,Saint Hildegard parish church in Eibingen,49.98588,7.928229,Benedictines,,http://commons.wikimedia.org/wiki/Special:FilePath/Hildegard%20von%20Bingen.jpg,Hildegard von Bingen,September 17,1098-01-01T00:00:00Z,1179-09-24T00:00:00Z,https://www.wikidata.org/wiki/Q70991,public domain,
st-hippolytus,St. Hippolytus,Hippolytus,label,Q207113,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/HippolytusStatue.JPG,Saint Hippolytus,October 5,0170-01-01T00:00:00Z,0235-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q207113,public domain,
st-ignatius-of-antioch,St. Ignatius of Antioch,Ignatius of Antioch,label,Q44170,St. Peter's Basilica,41.902222222,12.453416666,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hosios%20Loukas%20%28south%20west%20chapel%2C%20south%20side%29%20-%20Ignatios.jpg,Ignatius of Antioch,December 20,0035-01-01T00:00:00Z,0108-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q44170,public domain,
st-ignatius-of-loyola,St. Ignatius of Loyola,Ignatius of Loyola,label,Q44281,Church of the Gesù,41.895833333,12.479722222,Society of Jesus,Basques; soldier,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Ignatius%20of%20Loyola%20%281491-1556%29%20Founder%20of%20the%20Jesuits.jpg,Ignatius of Loyola,July 31,1491-11-10T00:00:00Z,1556-08-10T00:00:00Z,https://www.wikidata.org/wiki/Q44281,public domain,
st-irenus,St. Irenæus,Irenaeus,label,Q182123,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Ireneo%2C%20vitral%20%28cropped%29.jpg,Irenaeus,June 28,0130-01-01T00:00:00Z,0202-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q182123,public domain,
st-isaac-jogues,St. Isaac Jogues,Isaac Jogues,label,Q588832,,,,Society of Jesus,,http://commons.wikimedia.org/wiki/Special:FilePath/Father%20Isaac%20Jogues%20S.J.jpg,Saint Isaac Jogues and Companions,October 18,1607-01-10T00:00:00Z,1646-10-18T00:00:00Z,https://www.wikidata.org/wiki/Q588832,public domain,
st-isidore,St. Isidore,Isidore of Pelusium,label,Q713530,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Isidore%20of%20Pelusium.jpg,Isidore of Pelusium,February 4,0370-01-01T00:00:00Z,0440-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q713530,public domain,
st-james-son-of-alphaeus,St. James (Son of Alphaeus),St. James the Elder,label,Q43999,Cathedral of Santiago de Compostela,42.880555555,-8.544444444,,Academia de Caballería de Valladolid; Cavalry of Spanish Army; Galicia; Order of Santiago; Spain; equestrian; furrier; tanner,http://commons.wikimedia.org/wiki/Special:FilePath/Dijon%20fine%20arts%20museum%20mg%201626.jpg,Saint James the Greater,December 30,0001-01-01T00:00:00Z,0044-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q43999,needs review: CC BY-SA 2.0 fr,"anonymous — Wikimedia Commons, CC BY-SA 2.0 fr"
st-james-son-of-zebedee,St. James (Son of Zebedee),St. James the Elder,label,Q43999,Cathedral of Santiago de Compostela,42.880555555,-8.544444444,,Academia de Caballería de Valladolid; Cavalry of Spanish Army; Galicia; Order of Santiago; Spain; equestrian; furrier; tanner,http://commons.wikimedia.org/wiki/Special:FilePath/Dijon%20fine%20arts%20museum%20mg%201626.jpg,Saint James the Greater,December 30,0001-01-01T00:00:00Z,0044-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q43999,needs review: CC BY-SA 2.0 fr,"anonymous — Wikimedia Commons, CC BY-SA 2.0 fr"
